id;cod;tree_parent_id;metacategory;display;name_es;name_gl;name_en
1;PUDEMAINCONF;0;0;1;"Grandes Conferencias";"Grandes Conferencias";"Main Conferences"
2;PUDEPROMO;0;0;1;"Promocionales y corporativos";"Promocionales y corporativos";"Promotional and corporative"
3;PUDEPRESS;0;0;1;"Área de Prensa";"Área de Prensa";"Press Area"
4;PUDESUPPORT;0;0;1;"Apoyo al Proyecto";"Apoio ao Proxecto";"Project Support"
5;PUDECONGRESSES;0;0;1;"Congresos";"Congresos";"Congresses"
6;PUDEIMPACT;0;0;1;"Impacto (Vídeo sensible)";"Impacto (Vídeo sensible)";"Impact (Sensitive video)"
7;PUDEAUTO;0;0;1;"Autónomo";"Autónomo";"Autonomous"
