id;cod;tree_parent;metacategory;display;name_es;name_gl;name_en
98;ACPFCEDGCAFD;95;0;1;"Grao en Ciencias da Actividade Física e do Deporte";"Grao en Ciencias da Actividade Física e do Deporte";"Grao en Ciencias da Actividade Física e do Deporte"
99;ACPEEF;91;0;1;"Escola de Enxeñaría Forestal";"Escola de Enxeñaría Forestal";"Escola de Enxeñaría Forestal"
100;ACPEEFGEF;99;0;1;"Grao en Enxeñaría Forestal";"Grao en Enxeñaría Forestal";"Grao en Enxeñaría Forestal"
101;ACPFCSC;91;0;1;"Facultade de Ciencias Sociais e da Comunicación";"Facultade de Ciencias Sociais e da Comunicación";"Facultade de Ciencias Sociais e da Comunicación"
102;ACPFCSCFPRP;101;0;1;"Grao en Publicidade e Relacións Públicas";"Grao en Publicidade e Relacións Públicas";"Grao en Publicidade e Relacións Públicas"
103;ACPFCSCGDXP;101;0;1;"Grao en Dirección e Xestión Pública";"Grao en Dirección e Xestión Pública";"Grao en Dirección e Xestión Pública"
104;ACPFCSCGCA;101;0;1;"Grao en Comunicación AudiovisualEnlace";"Grao en Comunicación AudiovisualEnlace";"Grao en Comunicación AudiovisualEnlace"
105;ACPFF;91;0;1;"Facultade de Fisioterapia";"Facultade de Fisioterapia";"Facultade de Fisioterapia"
106;ACPFFGF;105;0;1;"Grao en Fisioterapia";"Grao en Fisioterapia";"Grao en Fisioterapia"
107;ACPEUE;91;0;1;"EU de Enfermaría";"EU de Enfermaría";"EU de Enfermaría"
108;ACPEUEGE;107;0;1;"Grao en Enfermaría";"Grao en Enfermaría";"Grao en Enfermaría"
109;ACPCUDM;91;0;1;"Centro Universitario da Defensa (Marín)";"Centro Universitario da Defensa (Marín)";"Centro Universitario da Defensa (Marín)"
110;ACPCUDMGEM;109;0;1;"Grao en Enxeñaría Mecánica";"Grao en Enxeñaría Mecánica";"Grao en Enxeñaría Mecánica"
